id,duration,n_bids,cond,start_pr,ship_pr,total_pr,ship_sp,seller_rate,stock_photo,wheels,title
110441486551,3,23,new,0.99,4,40.1,standard,270144,yes,0,Mario Kart Wii (GAME ONLY/NO WHEEL) - Nintendo Wii Game
110443692422,1,20,new,1,2.99,52.59,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
180412891421,7,9,used,10,4,44,other,103,no,2,Mario Kart Wii (Wii)
250505900389,5,14,used,10,9.26,38.26,upsGround,35,no,1,Mario Kart (Wii) with Wii Wheel
110442288138,5,11,used,19.99,4,51,priority,36,no,2,NINTENDO WII MARIO KART GAME DISK WITH TWO (2) WHEELS
290355806517,1,13,new,1,2.99,48.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
400076879560,1,1,new,54.99,11.45,66.44,upsGround,118345,yes,2,MARIO KART WITH WII WHEEL+1 GT PRO PINK WII WHEEL BUNDL
170390813853,1,22,new,0.01,0,63.5,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
350258355546,5,7,used,0.99,4,42,firstClass,14503,no,0,Nintendo Wii Mario Kart GAME ONLY
230382266458,7,18,new,18,4,47,standard,389,yes,1,Mario Kart Wii (Wii)
230382436039,5,17,used,0.99,4,55,standard,261,no,2,Nintendo Wii Mario Kart With 2 Racing Wheels
290353981573,7,9,used,0.01,3,33.01,media,381,yes,1,MarioKart (Wii) w/ wheel
300354031535,1,16,new,1,2.99,53.76,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
320430035588,5,20,new,0.01,0,46,media,8224,yes,1,BRAND NEW! FACTORY SEALED! MARIO KART WITH Wii WHEEL 
360194338883,3,16,used,0.99,4,43,standard,270143,yes,0,Mario Kart Wii (GAME ONLY/NO WHEEL) - Nintendo Wii Game
170389664528,3,5,used,35,0,42.55,priority,10,yes,1,Mario Kart Wii (Wii) with 1 Wheel
190338974387,7,5,used,1,0,52.5,standard,116,yes,2,Mario Kart Wii with Bonus Wheel!!! (2 Wheels Included)
110441494999,1,25,new,1,2.99,57.5,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
350261016626,1,3,new,69.95,0,75,standard,118345,yes,3,NEW MARIO KART WITH WII WHEEL+2 GT PRO WHITE WII WHEEL
150377042368,7,7,used,25,11.42,48.92,parcel,11,yes,1,Mario Kart Wii (Wii)
160365924565,7,18,new,9.99,4,45.99,firstClass,1154,yes,1,MARIO KART WII WITH STEERING WHEEL NEW NINTENDO WII
350258591183,7,10,used,0.99,4,40.05,standard,877,yes,1,Mario Kart Wii (Wii) W/RACING WHEEL!
170389877681,1,13,new,0.01,0,45,other,556,yes,1,"Mario Kart Wii, Game and Wheel, Brand New Sealed"
140350726723,3,8,used,20,4,50,parcel,63,yes,2,Mario Kart Wii (Wii)
250505299784,7,16,new,9.99,9.69,49.75,priority,94,yes,0,Mario Kart Wii (Wii)  *SEALED*
370266219023,7,3,used,38,4,47,parcel,508,no,1,Mario Kart Wii (Wii)   -   Complete!    Perfect!
110443653510,1,17,new,1,2.99,56,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
320431084246,1,11,used,1,0,41,priority,30,no,1,Mario Kart Wii with Wii Wheel
120477418866,3,9,new,0.01,0,46,firstClass,1144,no,1,NEW Mario Kart Nintendo Wii Racing Game w/Wheel Online
230383658784,7,10,used,0.99,3.99,34.99,firstClass,462,yes,1,Mario Kart Wii (Wii) Game and Steering Wheel
320432437858,1,23,used,0.99,0,49,parcel,280,yes,2,Mario Kart Wii (Nintendo Wii) comes with 2 Wheels NEW!!
170391971205,1,19,new,0.01,0,61,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
180416291487,1,14,new,0.01,0,62.89,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
270466062990,3,11,new,0.99,4,46,firstClass,299,yes,1,NINTENDO ~ MARIO KART Wii ~ NEW IN BOX ~ FACTORY SEALED
390103890073,1,1,new,64.95,0,64.95,standard,118345,yes,2,MARIO KART WITH WII OFFICIAL WHEEL+1 COBALT BLUE WHEEL
390099348424,7,14,used,9.95,3.99,36.99,media,2290,no,0,Mario Kart Nintendo Wii Game Complete &amp; MINT !
280404385327,7,14,used,16,4,44,priority,37,yes,1,Mario Kart Wii w/ wheel
350258416318,5,17,used,0.99,10.35,41.35,priority,14503,yes,1,Wii Mario Kart Game &amp; Wheel In Original Box Tested WKIN
230383342455,7,11,used,9.99,3,37,priority,297,no,0,MarioKart Wii
300354862386,1,18,new,1,2.99,58.98,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
350258970192,5,20,used,0.99,4,39,firstClass,14503,yes,0,Nintendo Wii Mario Kart GAME ONLY
120475800455,7,6,used,24.99,8.7,40.7,priority,3085,no,1,NINTENDO WII MARIOKART (WHEEL AND GAME)
110441497272,1,20,used,0.01,0,39.51,standard,7284,yes,0,Mario Kart Wii (Wii) Nintendo Wii game *--WOW --AWESOME
150376936435,7,9,used,17.99,0,52,parcel,121,no,2,Mario Kart Wii (Wii)
140349730405,3,14,new,0.99,8.7,47.7,priority,251,yes,1,"Wii Mario Kart game + wheel:  NIB, factory sealed"
300352306018,7,13,used,1,4.9,38.76,parcel,41,no,0,Mario Kart Wii
110443320905,1,13,new,1,2.99,54.51,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
