Price,Living.Area,Bathrooms,Bedrooms,Fireplaces,Lot.Size,Age,Fireplace
79893,2634,2.5,4,0,0.24,83,FALSE
88770,1000,1,3,0,0.52,91,FALSE
115312,912,1,2,0,0.46,14,FALSE
118952,1572,1.5,3,0,1.61,16,FALSE
103861,1700,1,3,1,0.46,25,TRUE
112649,1350,1.5,3,0,0.46,26,FALSE
127385,1416,1.5,3,0,0.37,11,FALSE
153129,1560,2,3,1,1,4,TRUE
143808,1572,1.5,3,0,0.46,7,FALSE
133067,1326,2,4,0,0.46,7,FALSE
226742,1989,2,3,1,1,247,TRUE
98652,1158,1.5,3,0,0.86,14,FALSE
111394,1272,1.5,3,0,0.34,1,FALSE
101418,1852,2,4,1,0.92,37,TRUE
139219,2308,3,2,0,0.45,5,FALSE
115248,1700,2,2,0,0.69,15,FALSE
99574,1628,1.5,2,1,0.32,30,TRUE
224818,2738,2.5,2,1,0.76,12,TRUE
108459,1292,1.5,3,0,0.34,25,FALSE
107919,1056,2,2,0,0.52,7,FALSE
45904,1328,1,4,0,0.19,103,FALSE
83617,1272,1.5,4,0,0.19,115,FALSE
154723,1944,2.5,3,0,2.13,0,FALSE
101258,1232,1,3,1,0.72,43,TRUE
118949,1164,2,3,0,0.52,5,FALSE
128717,1215,1.5,3,0,0.23,41,FALSE
136379,1486,2.5,3,0,0.38,0,FALSE
124367,1272,1.5,3,0,0.34,1,FALSE
62938,1064,1,3,0,0.13,95,FALSE
172016,1547,2,3,0,0.72,11,FALSE
106524,1148,1,3,0,0.35,7,FALSE
147412,1821,2.5,3,0,1,0,FALSE
111221,1056,1,3,0,0.81,27,FALSE
75862,995,1,3,0,0.38,47,FALSE
109578,1176,2,3,0,0.64,5,FALSE
119166,912,1,2,0,0.11,68,FALSE
185318,1500,1.5,4,2,0.58,208,TRUE
104749,1852,1,4,0,0.1,147,FALSE
44674,1214,1,3,0,0.14,103,FALSE
80540,1380,1.5,2,0,0.13,0,FALSE
93773,1324,1.5,3,0,0.19,5,FALSE
109999,1218,1.5,3,1,1.43,0,TRUE
16858,1629,1,3,0,0.76,180,FALSE
114326,1053,1,3,1,1,41,TRUE
106524,1308,1,2,0,1.35,17,FALSE
160995,1344,1.5,2,1,4,15,TRUE
139079,1608,1,3,1,0.44,63,TRUE
59003,3285,2,5,0,0.42,233,FALSE
147425,1582,1.5,3,0,0.35,11,FALSE
144695,1642,2,3,1,0.4,11,TRUE
130229,1248,2,3,0,0.35,11,FALSE
119840,1411,1,3,1,0.38,48,TRUE
129723,1593,1,3,1,1.8,63,TRUE
133595,1666,2.5,3,1,0.2,1,TRUE
126311,1471,2.5,3,0,0.08,4,FALSE
167693,1876,2.5,3,1,0.34,1,TRUE
103958,1486,1.5,3,0,0.1,16,FALSE
155488,1747,2.5,3,0,0.36,1,FALSE
152112,1512,2.5,3,1,0.36,18,TRUE
228619,2527,2.5,4,1,0.46,1,TRUE
139435,1666,2.5,3,0,0.19,0,FALSE
161923,1456,2,3,1,0.75,1,TRUE
261011,3015,2.5,4,1,0.46,1,TRUE
120115,967,2,4,0,1.2,55,FALSE
153013,1720,2,4,1,0.72,31,TRUE
298923,3515,2.5,4,1,0.51,0,TRUE
271791,2815,2.5,4,1,0.48,1,TRUE
126498,720,1,3,0,1,113,FALSE
267731,3001,2.5,5,1,0.66,0,TRUE
181979,1822,2.5,3,1,0.47,4,TRUE
145663,1666,2.5,3,1,0.2,1,TRUE
128273,1343,2.5,2,1,0.12,15,TRUE
106524,1144,1,2,1,0.18,16,TRUE
101997,1214,1.5,2,0,NA,17,FALSE
110963,1888,1,3,1,0.47,18,TRUE
147625,1668,2,2,0,0.19,16,FALSE
466044,3853,2.5,4,1,0.54,5,TRUE
116321,1486,1.5,3,0,0.1,16,FALSE
194880,2278,2.5,4,1,0.45,0,TRUE
143294,1360,1,4,0,0.92,53,FALSE
387652,3504,2.5,5,3,0.9,0,TRUE
240890,1921,2,3,1,0.46,0,TRUE
260460,3726,2.5,4,1,2.31,3,TRUE
90354,912,1.5,2,0,0.16,16,FALSE
192694,2079,2.5,3,0,0.44,11,FALSE
102801,1184,2,3,0,0.16,18,FALSE
79567,908,1,2,0,0.16,19,FALSE
101708,1492,2.5,3,0,0.17,16,FALSE
162913,2011,2.5,4,1,0.99,12,TRUE
75606,912,1.5,2,0,0.15,19,FALSE
175874,2195,2,3,1,0.45,1,TRUE
159313,1561,1.5,4,0,0.32,17,FALSE
207237,2656,2.5,4,1,0.41,1,TRUE
205397,2425,2.5,4,1,0.42,0,TRUE
79116,908,1,2,0,0.15,19,FALSE
161923,1158,1.5,3,0,0.57,7,FALSE
133155,1334,1.5,3,0,0.77,7,FALSE
159786,1561,1.5,3,1,0.32,16,TRUE
102405,1680,2,3,0,0.12,15,FALSE
114514,1514,2,3,0,0.16,17,FALSE
162006,1656,1.5,3,1,0.33,17,TRUE
93815,1184,1.5,2,0,0.15,19,FALSE
181140,2648,2.5,4,1,0.43,0,TRUE
137309,1092,1.5,3,0,0.35,33,FALSE
136551,1880,2,3,0,0.62,7,FALSE
107049,1592,2,3,0,0.16,16,FALSE
163524,2516,2,3,1,2.96,40,TRUE
181140,2310,3,4,1,0.56,31,TRUE
317120,3076,3.5,4,1,0.92,0,TRUE
77547,908,1,2,0,0.16,19,FALSE
81762,912,1.5,2,0,0.15,19,FALSE
147517,1680,1,4,0,0.45,27,FALSE
263226,3355,2.5,4,1,0.83,1,TRUE
163191,1886,2.5,3,1,0.43,16,TRUE
125920,1605,2.5,3,1,0.15,0,TRUE
164623,1772,2,3,1,0.29,0,TRUE
161562,2044,2.5,3,1,0.37,16,TRUE
163781,1124,1,3,0,0.45,26,FALSE
235152,3192,3,4,1,0.11,2,TRUE
120639,1498,1.5,2,1,0.18,0,TRUE
123834,1092,1,5,0,0.33,72,FALSE
76342,896,1,2,0,0,48,FALSE
79982,1572,1.5,4,0,0.39,41,FALSE
69152,986,1,3,0,0.06,133,FALSE
71647,2087,2.5,3,1,0.56,0,TRUE
140765,1596,1.5,3,0,0.28,49,FALSE
91792,908,1,2,0,0.16,17,FALSE
134865,1500,1.5,3,2,0.49,31,TRUE
139079,1719,1.5,3,1,0.53,25,TRUE
244443,2810,2.5,4,2,0.74,14,TRUE
162091,1806,2.5,3,1,1.59,0,TRUE
263226,3355,2.5,4,1,0.83,1,TRUE
126010,1760,1,4,1,0.52,37,TRUE
173102,1896,1.5,3,1,0.42,17,TRUE
120639,1498,1.5,2,1,0.18,0,TRUE
139079,1248,2,3,0,0.75,37,FALSE
189654,2320,2.5,4,1,0.65,16,TRUE
89432,1132,1,2,1,0.16,25,TRUE
196317,2359,2.5,4,1,0.61,1,TRUE
209122,3476,2.5,4,1,0.34,20,TRUE
140602,1693,1.5,3,1,0.37,26,TRUE
170567,1585,1.5,3,1,0.95,16,TRUE
111875,1758,2,3,0,0.3,25,FALSE
225885,2524,2.5,4,1,0.48,6,TRUE
163652,1908,2.5,3,1,0.27,25,TRUE
119858,1476,1.5,3,1,0.22,24,TRUE
212830,2266,2.5,4,1,0.26,0,TRUE
142907,1920,2,3,1,0.59,31,TRUE
193524,1730,2.5,3,1,0.66,1,TRUE
189836,1726,2,3,1,0.06,26,TRUE
154432,1644,2.5,4,1,0.3,20,TRUE
248204,1908,2,3,1,0.26,0,TRUE
175514,2475,2.5,4,1,0.59,35,TRUE
297024,3020,2.5,4,2,0.77,2,TRUE
175514,2310,2.5,5,1,0.45,36,TRUE
201616,2119,2.5,4,1,0.76,16,TRUE
562546,5228,4,4,4,0.45,14,TRUE
172814,2056,1.5,4,1,0.42,35,TRUE
232894,2500,2.5,4,1,0.57,0,TRUE
169124,2576,2.5,5,1,0.69,34,TRUE
232219,2541,2.5,4,1,0.49,5,TRUE
247520,2445,2.5,4,2,0.38,18,TRUE
224928,2185,2.5,3,1,0.74,14,TRUE
294133,3981,3,4,1,0.69,0,TRUE
228806,2577,2.5,4,1,0.29,0,TRUE
170600,1728,2.5,3,1,0.27,0,TRUE
175784,1837,1.5,3,0,0.52,18,FALSE
229055,2500,2.5,4,1,0.5,0,TRUE
157513,1910,2.5,4,1,0.58,19,TRUE
308750,2958,2.5,4,1,0.92,0,TRUE
202157,2564,2.5,4,1,0.59,30,TRUE
241885,2604,3,4,1,0.24,0,TRUE
297380,2906,2.5,4,1,0.62,2,TRUE
119751,1480,1.5,3,0,0.11,17,FALSE
153129,1872,1.5,4,1,0.56,32,TRUE
156679,1911,1.5,4,1,0.43,35,TRUE
102086,1302,1.5,2,0,0.06,16,FALSE
149933,1664,2,3,1,0.38,25,TRUE
228375,2512,2.5,4,1,0.04,0,TRUE
261872,2380,2.5,3,1,0.95,9,TRUE
161118,1887,2.5,4,1,0.56,27,TRUE
190856,2086,2.5,4,1,0.46,14,TRUE
140701,1554,2,2,3,0.53,20,TRUE
368396,3358,3.5,4,1,0.58,9,TRUE
250976,2394,2.5,4,1,0.6,0,TRUE
180032,2066,2.5,4,1,0.41,32,TRUE
332888,3111,2.5,4,1,0.5,3,TRUE
177452,2402,2.5,4,1,0.47,28,TRUE
219262,2327,2.5,4,1,0.29,10,TRUE
254327,2541,2.5,4,1,0.5,5,TRUE
197105,1894,2,3,1,0.34,0,TRUE
166888,1740,1.5,3,0,0.46,26,FALSE
115401,1480,1.5,3,0,0.18,18,FALSE
208610,1752,2.5,3,1,0.74,10,TRUE
107892,1375,1.5,2,1,0.2,20,TRUE
143294,1918,2,3,1,0.3,29,TRUE
282373,2793,2.5,3,1,NA,21,TRUE
239301,2619,2.5,4,1,0.4,0,TRUE
143210,1744,1.5,4,1,0.57,35,TRUE
379678,3720,4,5,1,0.8,0,TRUE
221263,2000,2.5,3,0,0.73,22,FALSE
111264,1142,1.5,3,0,0.19,18,FALSE
252872,2612,2.5,4,1,0.56,23,TRUE
172315,2008,2.5,4,1,0.32,0,TRUE
182068,2035,2.5,4,1,0.43,35,TRUE
94405,1375,1.5,2,0,0.09,22,FALSE
26130,822,1,2,0,0.56,173,FALSE
308218,3597,2.5,4,1,0.51,0,TRUE
117164,1536,1,2,1,2.84,55,TRUE
173639,1910,2.5,4,1,0.37,18,TRUE
282289,3017,3.5,4,1,0.49,0,TRUE
198083,1971,2.5,4,1,0.49,7,TRUE
100306,1314,1.5,2,0,0.1,19,FALSE
181225,1944,2.5,4,1,0.26,25,TRUE
103677,1375,1.5,2,1,0.08,21,TRUE
86651,1140,1.5,2,0,0.08,18,FALSE
96934,1480,1.5,3,0,0.08,19,FALSE
130650,2110,2,3,1,0.92,52,TRUE
105843,972,1,3,0,0.36,40,FALSE
114513,960,2,2,0,0.63,11,FALSE
160426,2262,2,4,0,0.46,21,FALSE
105363,864,1,3,0,1,128,FALSE
189995,2150,2,4,0,1.2,104,FALSE
104084,1170,2,2,0,2.5,10,FALSE
210081,1596,1,3,1,3.14,29,TRUE
137508,1530,2,3,1,0.48,20,TRUE
111436,1380,1.5,3,0,0.14,2,FALSE
74422,1708,1,2,2,0.87,39,TRUE
107912,1308,1,3,0,0.46,26,FALSE
123757,1416,1.5,3,0,1.94,5,FALSE
139800,1900,1.5,3,1,0.37,12,TRUE
77921,1704,1,2,0,2.5,177,FALSE
145123,1372,1.5,3,0,0.69,26,FALSE
104412,1480,1.5,2,1,0.17,15,TRUE
391842,3003,3.5,4,1,0.46,88,TRUE
118468,1298,1,3,1,0.17,44,TRUE
176698,1772,2.5,3,1,0.06,14,TRUE
63852,1536,1.5,4,1,0.46,30,TRUE
212103,1400,2,3,1,0.98,25,TRUE
146611,1580,1.5,5,0,1,26,FALSE
113444,1656,1,3,0,0.1,94,FALSE
47630,1235,1,3,1,0.32,84,TRUE
63101,1628,1,2,0,0.06,124,FALSE
51183,1144,1,3,0,0.64,15,FALSE
92436,1300,1,3,0,1.08,10,FALSE
114513,1560,1.5,3,0,1.59,5,FALSE
269063,3319,2.5,3,0,2,20,FALSE
127303,1210,1,2,1,0.7,17,TRUE
133612,1768,1.5,4,1,0.37,48,TRUE
137508,1164,1,3,1,2,54,TRUE
145147,1832,2,4,1,0.52,47,TRUE
107306,1276,2,3,0,4.67,29,FALSE
260228,2092,2.5,4,1,3.64,0,TRUE
104412,2116,2,4,0,0.05,74,FALSE
120476,1248,2,3,0,1,14,FALSE
118409,2128,2,4,0,1,7,FALSE
146611,1056,1,2,0,9,5,FALSE
85560,2068,1,4,1,1,104,TRUE
205498,3069,3.5,4,1,1.05,13,TRUE
163478,2334,2,4,0,0.44,39,FALSE
137540,1551,1,4,0,1.95,97,FALSE
116862,1456,1,4,1,0.4,54,TRUE
109633,775,1,2,0,0.46,47,FALSE
156606,1756,1.5,3,1,0.85,24,TRUE
139418,1296,2,4,1,0.38,51,TRUE
122229,1404,2,3,0,0.68,72,FALSE
179524,1632,2,4,1,0.57,20,TRUE
111633,1564,1,3,1,0.32,54,TRUE
134266,1501,2,3,1,0.4,44,TRUE
130239,1586,1.5,3,1,0.6,49,TRUE
121680,1412,1.5,3,0,0.35,103,FALSE
199187,2223,2.5,4,0,4.34,9,FALSE
126311,1370,1,3,1,0.45,27,TRUE
265637,3030,2.5,4,1,0.5,1,TRUE
229915,2103,2.5,4,1,0.06,6,TRUE
161473,1560,1,2,1,2,43,TRUE
150909,1512,1.5,3,0,0.6,7,FALSE
287360,3133,3,4,1,0.5,1,TRUE
189912,2316,2.5,3,1,0.54,7,TRUE
109040,1198,1,2,0,0.37,13,FALSE
144561,1292,2,3,1,0.22,4,TRUE
90678,957,1,3,0,0.18,49,FALSE
89955,1216,1,3,0,0.21,129,FALSE
122082,2256,1.5,4,0,0.17,124,FALSE
84333,2043,1.5,4,1,0.32,94,TRUE
144571,1512,1.5,3,1,0.05,13,TRUE
180803,1570,2,3,1,0.92,14,TRUE
198622,1616,2,2,1,1,36,TRUE
120192,1404,2,3,0,6.13,7,FALSE
163102,1552,1.5,3,1,0.46,9,TRUE
184515,1472,1.5,4,1,0.7,3,TRUE
189654,2367,2.5,4,1,0.36,4,TRUE
135820,1475,2,3,1,0.46,20,TRUE
150022,1632,2.5,4,1,0.5,30,TRUE
189776,1964,2.5,4,1,0.48,6,TRUE
196603,2064,2.5,4,1,0.84,3,TRUE
161839,1601,1.5,3,1,0.03,8,TRUE
202836,2284,1.5,3,1,0.28,29,TRUE
156797,1672,2.5,3,1,0.15,0,TRUE
222198,2495,2.5,4,1,0.41,26,TRUE
103262,1176,1.5,2,0,0.22,31,FALSE
253545,1498,1,2,1,0.4,51,TRUE
116170,1272,1,3,0,0.26,31,FALSE
112509,1138,1,3,0,0.14,98,FALSE
355529,2186,2.5,3,0,1.4,12,FALSE
204643,1743,2.5,3,1,0.15,0,TRUE
135011,2488,2,3,1,0.41,24,TRUE
106659,936,1,3,0,0.4,34,FALSE
323819,2592,3,3,0,0.16,1,FALSE
135011,1327,2,2,1,0.67,35,TRUE
126010,864,1.5,3,0,0.16,37,FALSE
216018,1216,1.5,3,0,0.14,75,FALSE
446436,3467,2.5,4,1,0.34,3,TRUE
133155,1480,2.5,3,1,0.03,16,TRUE
146471,892,1,2,0,0.29,113,FALSE
329484,2786,2.5,4,1,0.39,0,TRUE
509488,3530,3.5,4,1,2.05,0,TRUE
110963,1568,1.5,3,0,0.05,18,FALSE
300931,847,1,2,0,0.55,78,FALSE
255303,2242,2.5,3,0,0.07,0,FALSE
150909,1374,1.5,3,0,0.18,44,FALSE
184109,1920,2.5,3,1,0.16,0,TRUE
173446,2124,2.5,3,1,0.14,0,TRUE
127740,1480,2.5,3,1,0.03,16,TRUE
213048,2022,2.5,3,1,0.48,0,TRUE
114070,1098,1,2,0,0.1,113,FALSE
205947,1224,1,2,0,0.27,63,FALSE
209226,2550,2.5,3,1,0.46,0,TRUE
134378,1279,1,3,0,0.28,31,FALSE
113371,1177,1.5,3,0,0.17,36,FALSE
261301,1859,1.5,3,0,0.14,85,FALSE
218734,2219,2.5,4,1,0.3,15,TRUE
254944,2579,2.5,4,1,0.72,0,TRUE
143252,1568,1.5,3,0,0.16,18,FALSE
99463,912,1,3,0,0.26,31,FALSE
123064,1209,1,2,0,0.19,73,FALSE
243305,2242,2.5,3,0,0.08,0,FALSE
212846,2270,2.5,3,1,0.46,0,TRUE
378465,3457,2.5,3,2,1,20,TRUE
263408,1738,2,3,0,0.22,5,FALSE
189654,1334,1.5,2,0,0.13,122,FALSE
357384,2322,2.5,3,1,0.27,0,TRUE
265515,1870,2.5,3,1,0.11,4,TRUE
168497,1888,2,3,0,0.39,6,FALSE
132088,1368,1,3,0,0.24,33,FALSE
130518,1200,1.5,3,0,0.32,1,FALSE
92519,1368,1,3,0,0.38,34,FALSE
229761,2230,2.5,3,0,0.62,1,FALSE
231298,1800,2.5,3,1,0.07,16,TRUE
152822,1043,1,3,0,0.15,104,FALSE
224888,1200,1,2,0,0.16,65,FALSE
244124,2346,2.5,4,1,0.35,0,TRUE
148989,792,1,3,0,0.13,36,FALSE
236936,2300,2.5,3,1,0.07,16,TRUE
261031,2280,2.5,4,1,0.47,24,TRUE
246976,1652,1.5,3,1,0.05,4,TRUE
120476,2238,1.5,3,1,0.21,114,TRUE
168065,1016,2,2,0,NA,41,FALSE
173794,1970,2.5,4,1,0.59,18,TRUE
213901,1680,2,3,1,0.39,27,TRUE
217797,1386,1.5,2,0,0.23,92,FALSE
171885,1550,2.5,2,1,0.07,16,TRUE
286474,2058,2.5,4,1,1.33,26,TRUE
174940,1126,2,3,1,0.22,46,TRUE
261647,1850,2.5,4,1,0.19,16,TRUE
138424,1673,1,3,1,0.29,27,TRUE
148967,2208,2.5,3,1,0.05,17,TRUE
200940,1116,2,3,0,0.24,38,FALSE
234429,1470,2.5,3,0,0.13,3,FALSE
476301,2986,2.5,4,1,2.37,12,TRUE
333411,3356,2.5,4,1,0.34,6,TRUE
247639,1016,2,2,0,NA,41,FALSE
122796,1612,1,3,1,0.29,34,TRUE
279083,1908,2,3,1,0.22,16,TRUE
177124,1064,1,2,1,0.1,77,TRUE
160007,2078,1.5,4,0,0.22,33,FALSE
154798,2470,2.5,4,1,0.34,26,TRUE
373227,2058,1.5,2,1,0.23,49,TRUE
122257,1400,1.5,3,0,1,17,FALSE
165213,1664,3,3,0,0.99,10,FALSE
128040,1488,2.5,3,1,2.15,1,TRUE
120476,1120,2,3,0,0.73,7,FALSE
64174,672,1,2,0,0.36,46,FALSE
124492,1164,2,3,0,0.34,8,FALSE
111534,1032,1,3,0,0.75,4,FALSE
114590,1736,2,3,1,0.38,37,TRUE
97783,1061,1,3,1,0.92,48,TRUE
64552,1298,1,3,0,0.24,106,FALSE
114238,1164,2,3,0,0.64,7,FALSE
57678,924,1,1,0,0.17,104,FALSE
89232,960,1,3,0,1,51,FALSE
72189,1594,1.5,4,0,0.21,81,FALSE
210081,2008,2.5,4,1,0.46,19,TRUE
126049,1268,1,3,1,0.56,25,TRUE
98790,1480,1.5,3,1,0.08,16,TRUE
103408,1034,1.5,2,1,0.21,14,TRUE
102806,1480,1.5,3,1,0.08,15,TRUE
159843,1350,1.5,2,1,0.68,1,TRUE
111353,1248,1.5,3,0,1.28,0,FALSE
234954,2294,3.5,4,1,0.52,0,TRUE
103256,1492,1.5,3,0,0.15,16,FALSE
81580,1336,1.5,2,1,0.35,20,TRUE
229180,2310,2.5,4,1,1.4,3,TRUE
116882,1542,2.5,3,0,0.25,10,FALSE
154238,1984,2.5,2,0,0.27,11,FALSE
100839,1480,1.5,2,0,0.12,17,FALSE
122257,1856,1.5,3,1,0.6,36,TRUE
128040,1688,1,3,1,0.03,29,TRUE
102806,1248,1,3,1,0.96,46,TRUE
236055,2405,2.5,4,1,1.63,16,TRUE
91672,1392,1.5,3,0,0.26,21,FALSE
130757,1394,1,4,0,0.46,33,FALSE
200793,1940,2,3,0,0.85,9,FALSE
202836,2068,2.5,4,1,0.46,17,TRUE
60238,1664,1.5,3,0,0.21,76,FALSE
40932,1320,1,3,0,0.17,90,FALSE
92519,1281,2.5,2,1,0.02,19,TRUE
148692,1397,1.5,2,1,0.76,14,TRUE
123910,1620,2.5,3,1,0.86,1,TRUE
103258,1344,1.5,3,0,0.64,16,FALSE
394532,3361,3.5,4,1,0.71,1,TRUE
187104,2040,2.5,4,1,0.65,1,TRUE
97476,1219,1.5,2,0,NA,19,FALSE
125562,1253,1.5,2,1,0.21,16,TRUE
208048,1876,2.5,3,1,0.24,1,TRUE
334556,3296,2.5,4,1,0.61,6,TRUE
134933,1496,1,3,1,0.25,37,TRUE
178140,2200,2.5,4,1,0.61,1,TRUE
345364,3308,2.5,4,1,0.66,7,TRUE
285500,3328,2.5,4,1,0.35,0,TRUE
228904,1824,2.5,3,1,0.18,11,TRUE
207018,2147,2.5,4,1,0.61,9,TRUE
257015,2093,2.5,3,1,0.46,1,TRUE
160635,1336,2,3,0,0.32,11,FALSE
329221,2934,2.5,3,1,0.66,9,TRUE
136499,1152,1,3,0,0.8,36,FALSE
121279,1348,2.5,2,1,0,18,TRUE
240952,2376,2.5,4,1,0.06,10,TRUE
340545,2926,3,4,1,0.84,11,TRUE
176846,2249,2.5,4,1,0.59,1,TRUE
312448,2919,2.5,4,1,0.05,5,TRUE
314912,3423,2.5,4,1,0.38,0,TRUE
171885,1536,2.5,3,1,0.72,7,TRUE
225742,2216,2.5,3,1,0.5,8,TRUE
240639,2572,2.5,4,1,0.94,9,TRUE
236742,2412,2.5,4,1,0.55,10,TRUE
99311,1281,2.5,2,1,NA,18,TRUE
136192,1623,1.5,4,1,0.44,36,TRUE
223266,2619,2.5,4,1,0.53,4,TRUE
133215,1364,1.5,2,1,0.14,19,TRUE
77650,1620,1.5,4,0,0.04,99,FALSE
150505,1785,2.5,3,0,0.17,1,FALSE
169343,1796,2.5,3,0,0.92,14,FALSE
115566,1184,2,3,0,0.15,17,FALSE
154528,1785,2.5,3,0,0.16,1,FALSE
218184,2655,2.5,4,1,0.37,1,TRUE
366772,3200,2.5,4,1,1.27,1,TRUE
199990,2011,2.5,4,0,0.67,12,FALSE
303599,3329,1.5,3,0,0.62,14,FALSE
94774,1240,1.5,2,0,0.15,17,FALSE
98389,1184,1.5,2,0,0.15,18,FALSE
110115,1385,1.5,2,2,0.16,17,TRUE
160349,1732,1.5,3,2,0.31,17,TRUE
75094,728,1,2,0,0.06,22,FALSE
152404,1508,2,3,1,0.33,16,TRUE
154314,1466,1,3,1,0.23,62,TRUE
99311,690,1,3,0,0.04,114,FALSE
110770,911,1,2,0,0.12,114,FALSE
157370,1656,1.5,3,1,0.33,19,TRUE
148203,1782,1.5,3,0,0.34,36,FALSE
85585,912,1.5,2,0,0.16,20,FALSE
137606,1508,1.5,3,0,0.34,19,FALSE
110889,1266,1,3,1,0.03,134,TRUE
96004,912,1.5,2,0,0.16,18,FALSE
119001,1506,1.5,3,1,0.46,24,TRUE
74421,1928,2,4,1,0.27,134,TRUE
145123,1536,2,3,0,0.98,6,FALSE
163728,1811,2.5,3,1,0.46,19,TRUE
193497,1948,2.5,3,1,1.13,13,TRUE
73892,864,1.5,3,0,0.07,114,FALSE
113367,1760,1.5,4,1,0.27,133,TRUE
162984,1872,1.5,3,0,0.36,18,FALSE
202800,2250,2.5,4,0,0.31,2,FALSE
84291,924,1,3,0,0.91,15,FALSE
98632,1406,1.5,2,0,0.16,19,FALSE
155713,3535,3,4,2,4.2,39,TRUE
146626,1561,1.5,3,0,0.33,18,FALSE
92932,988,2,2,0,0.15,19,FALSE
164419,1785,2.5,3,1,0.16,1,TRUE
218184,2655,2.5,4,1,0.37,1,TRUE
174208,2372,2,3,1,0.44,2,TRUE
200713,2504,2.5,4,1,0.48,14,TRUE
102003,1184,1.5,2,0,0.16,20,FALSE
85939,1527,2,2,1,0.31,17,TRUE
210672,1764,2.5,3,1,1,8,TRUE
98389,1184,1.5,2,0,0.15,18,FALSE
102806,1168,2,3,0,0.14,21,FALSE
111239,912,1.5,2,0,0.16,20,FALSE
100397,912,1.5,2,0,0.16,18,FALSE
117703,1492,2.5,3,1,0.17,17,TRUE
152786,1508,2,3,1,0.36,20,TRUE
87852,1270,1,3,0,0.04,110,FALSE
180670,2310,2.5,4,1,0.65,31,TRUE
55817,1688,2,5,0,0.17,119,FALSE
230708,2548,2.5,3,1,0.36,3,TRUE
93846,1385,1.5,2,0,0.15,17,FALSE
243276,3271,2.5,4,1,0.97,1,TRUE
226304,1921,2,3,1,1,0,TRUE
119784,1560,1,2,0,0.36,25,FALSE
108478,1840,1,3,0,0.14,8,FALSE
154696,1704,2.5,3,1,0.43,17,TRUE
198622,1971,2.5,4,0,0.35,11,FALSE
167776,3106,2.5,4,0,5.51,8,FALSE
84291,924,1,3,0,0.91,15,FALSE
126436,1216,1,3,1,0.49,51,TRUE
129609,1635,1.5,4,0,0.28,52,FALSE
137127,1892,2,3,2,0.25,26,TRUE
277235,2950,2.5,4,1,0.41,1,TRUE
209555,2539,2.5,4,0,0.38,1,FALSE
101193,1375,1.5,2,1,0.07,21,TRUE
104084,1302,1.5,2,1,0.05,17,TRUE
99045,937,1,2,0,0.13,19,FALSE
334556,3376,2.5,4,1,0.83,7,TRUE
