Site_ID,County,Community,Rural_Urban,Dir,Functional_Class,Avg_Speed,Total_Volume,Crashes,Nonfatal_Injuries,Fatal_Injuries
2106,hampshire,pelham,R,2-WAY,Collector,31.97949619,6828,NA,NA,NA
2109,hampshire,amherst,U,2-WAY,Arterial,25.35486942,7353,NA,NA,NA
211,franklin,deerfield,R,2-WAY,Collector,42.59889009,1868614,NA,NA,NA
2110,hampshire,amherst,U,2-WAY,Arterial,32.32423731,13047,NA,NA,NA
2111,hampshire,amherst,U,2-WAY,Arterial,32.54331952,10137,NA,NA,NA
2112,hampshire,amherst,U,2-WAY,Arterial,33.05477284,25910,NA,NA,NA
2113,hampshire,amherst,U,2-WAY,Arterial,32.36194669,8178,NA,NA,NA
2115,hampshire,easthampton,U,2-WAY,Arterial,26.52619309,7292,NA,NA,NA
2116,hampshire,easthampton,U,2-WAY,Arterial,34.74921743,16613,NA,NA,NA
2118,hampshire,easthampton,U,2-WAY,Arterial,38.30742131,13058,1,0,0
2121,hampshire,easthampton,U,2-WAY,Collector,31.15943825,14526,NA,NA,NA
2122,hampshire,amherst,U,2-WAY,Arterial,31.7705279,17257,NA,NA,NA
2124,hampden,holyoke,U,2-WAY,Collector,29.30941821,15336,NA,NA,NA
2126,hampden,holyoke,U,2-WAY,Arterial,17.14376376,23168,27,0,0
2130,hampshire,south hadley,U,2-WAY,Arterial,42.72440553,10052,NA,NA,NA
2134,hampshire,south hadley,U,2-WAY,Arterial,36.36139332,4823,NA,NA,NA
2135,hampshire,south hadley,U,2-WAY,Collector,32.68289884,6099,NA,NA,NA
2136,hampshire,south hadley,U,2-WAY,Collector,27.21774194,2480,NA,NA,NA
2137,hampshire,south hadley,U,2-WAY,Arterial,48.06376174,40024,NA,NA,NA
2140,hampden,chicopee,U,2-WAY,Arterial,39.33415703,21456,NA,NA,NA
2142,hampshire,belchertown,U,2-WAY,Arterial,37.39640111,19117,1,0,0
2153,hampshire,ware,U,2-WAY,Arterial,39.85066382,42194,NA,NA,NA
2166,hampden,southwick,U,2-WAY,Arterial,46.00017037,23504,2,0,0
2168,hampden,southwick,U,2-WAY,Collector,37.57295073,9481,NA,NA,NA
2174,hampden,westfield,U,2-WAY,Arterial,25.87381846,15447,NA,NA,NA
2175,hampden,westfield,U,2-WAY,Collector,29.9093284,9187,NA,NA,NA
2176,hampden,westfield,U,2-WAY,Collector,39.07232164,21519,2,0,0
2178,hampden,east longmeadow,U,2-WAY,Collector,22.7446693,25795,NA,NA,NA
2181,hampden,springfield,U,2-WAY,Collector,28.72460991,7306,NA,NA,NA
2184,hampden,springfield,U,2-WAY,Collector,28.62268519,2160,NA,NA,NA
2188,hampden,springfield,U,2-WAY,Collector,25.06949807,1036,NA,NA,NA
2191,hampden,springfield,U,2-WAY,Freeway & Expressway,29.02881422,105972,8,0,0
2193,hampden,springfield,U,2-WAY,Collector,33.23546407,8308,NA,NA,NA
2194,hampden,springfield,U,2-WAY,Collector,24.33048221,16136,NA,NA,NA
2204,hampden,west springfield,U,2-WAY,Local Road,39.26414152,30031,NA,NA,NA
2219,hampshire,northampton,U,2-WAY,Arterial,28.16082027,23006,2,0,0
2221,hampshire,northampton,U,2-WAY,Local Road,17.40607055,1219,NA,NA,NA
2223,hampshire,south hadley,U,2-WAY,Arterial,28.12638019,20923,NA,NA,NA
2229,franklin,greenfield,U,2-WAY,Arterial,31.34320616,5977,NA,NA,NA
2233,franklin,montague,U,2-WAY,Arterial,36.72780911,26953,NA,NA,NA
2241,hampden,southwick,U,2-WAY,Arterial,26.25194989,16926,2,0,0
2242,hampden,southwick,U,2-WAY,Arterial,32.60055633,14383,NA,NA,NA
2247,hampden,springfield,U,2-WAY,Interstate,59.8982092,27763370,NA,NA,NA
2248,hampden,springfield,U,2-WAY,Interstate,64.036434,23260074,3,0,0
2251,hampden,springfield,U,2-WAY,Interstate,60.75599702,14490655,NA,NA,NA
2256,franklin,whately,R,2-WAY,Interstate,60.93115314,86017,NA,NA,NA
2264,franklin,bernardston,R,2-WAY,Arterial,52.31737779,2705977,NA,NA,NA
236467,norfolk,avon,U,2-WAY,Collector,35.43334415,6150,NA,NA,NA
236526,plymouth,west bridgewater,U,2-WAY,Arterial,36.6928985,8002,3,0,0
236617,middlesex,dunstable,U,2-WAY,Arterial,31.06327883,32912,1,0,0
236640,bristol,easton,U,2-WAY,Arterial,34.79790127,25107,NA,NA,NA
236644,bristol,easton,U,2-WAY,Arterial,35.93709486,10847,NA,NA,NA
236645,bristol,easton,U,2-WAY,Arterial,37.78362551,26064,NA,NA,NA
236646,bristol,easton,U,2-WAY,Arterial,40.87617801,26194,NA,NA,NA
237107,worcester,upton,U,2-WAY,Arterial,39.78237143,45837,3,0,0
237171,middlesex,westford,U,2-WAY,Arterial,44.37742034,22884,NA,NA,NA
237239,worcester,worcester,U,2-WAY,Arterial,32.85966129,31711,3,0,0
238045,norfolk,avon,U,2-WAY,Arterial,32.66608345,18311,2,0,0
238049,norfolk,avon,U,2-WAY,Arterial,35.43054292,19111,1,0,0
238054,norfolk,avon,U,2-WAY,Local Road,26.88828968,1282,NA,NA,NA
238124,plymouth,bridgewater,U,2-WAY,Collector,29.8073838,8976,NA,NA,NA
238166,plymouth,brockton,U,2-WAY,Arterial,23.39425732,10613,NA,NA,NA
238431,middlesex,lowell,U,2-WAY,Arterial,33.81070402,33417,NA,NA,NA
2396,hampshire,hatfield,R,2-WAY,Interstate,65.70937769,7077884,NA,NA,NA
240204,norfolk,avon,U,2-WAY,Arterial,35.05587162,31274,NA,NA,NA
240207,norfolk,avon,U,2-WAY,Arterial,31.96684378,31441,14,0,0
240433,bristol,easton,U,2-WAY,Arterial,32.20082967,33605,2,0,0
2405,hampshire,northampton,U,2-WAY,Interstate,68.74702086,9985463,NA,NA,NA
240628,middlesex,lowell,U,2-WAY,Arterial,36.33049497,18208,NA,NA,NA
241082,worcester,webster,U,2-WAY,Arterial,29.02567515,80450,19,0,0
2425,hampshire,northampton,U,2-WAY,Interstate,68.90258796,7840211,NA,NA,NA
2452,hampshire,easthampton,U,2-WAY,Interstate,67.92016147,12805773,NA,NA,NA
25,bristol,somerset,U,2-WAY,Arterial,38.97583843,3055638,1,0,0
250798,plymouth,pembroke,U,2-WAY,Local Road,30.14032698,2195,2,0,0
250863,plymouth,west bridgewater,U,2-WAY,Collector,40.87992495,5311,NA,NA,NA
251125,middlesex,billerica,U,2-WAY,Arterial,33.68891317,38435,NA,NA,NA
252315,middlesex,dracut,U,2-WAY,Arterial,26.73741649,37575,NA,NA,NA
253233,bristol,easton,U,2-WAY,Arterial,33.14690349,26416,13,0,0
253768,worcester,sterling,R,2-WAY,Collector,39.52199263,11664,NA,NA,NA
254032,worcester,berlin,U,2-WAY,Arterial,40.43258872,76978,8,0,0
254043,worcester,brookfield,R,2-WAY,Collector,41.54820308,15783,NA,NA,NA
254073,worcester,holden,U,2-WAY,Arterial,44.88653763,13852,NA,NA,NA
254111,worcester,paxton,U,2-WAY,Arterial,40.49715876,8623,NA,NA,NA
254160,worcester,westborough,U,2-WAY,Arterial,31.64688476,91287,NA,NA,NA
255063,worcester,boylston,U,2-WAY,Arterial,43.37113443,49857,NA,NA,NA
257659,bristol,easton,U,2-WAY,Arterial,41.85168739,33713,2,0,0
257812,worcester,worcester,U,2-WAY,Arterial,37.16780146,40580,NA,NA,NA
257931,norfolk,avon,U,2-WAY,Arterial,33.08805413,31581,NA,NA,NA
280,hampden,west springfield,U,2-WAY,Arterial,41.4164477,3639062,NA,NA,NA
2806,hampden,agawam,U,2-WAY,Freeway & Expressway,64.5464579,5073200,NA,NA,NA
2846,hampden,chicopee,U,2-WAY,Arterial,27.98429541,47319,33,0,0
2847,hampden,chicopee,U,2-WAY,Arterial,20.90702573,26602,NA,NA,NA
2848,hampden,chicopee,U,2-WAY,Arterial,26.97363862,13282,NA,NA,NA
2849,hampden,chicopee,U,2-WAY,Arterial,18.41251086,11512,5,0,0
2850,hampden,chicopee,U,2-WAY,Arterial,35.07306405,40931,NA,NA,NA
2855,hampden,chicopee,U,2-WAY,Arterial,34.06462221,26154,1,0,0
2857,hampshire,south hadley,U,2-WAY,Arterial,37.12554286,21184,NA,NA,NA
2858,hampshire,south hadley,U,2-WAY,Arterial,23.75625123,55869,NA,NA,NA
2863,hampden,holyoke,U,2-WAY,Arterial,32.86438478,75493,19,0,0
3,bristol,rehoboth,U,2-WAY,Arterial,47.93431077,2376295,NA,NA,NA
30,worcester,webster,U,2-WAY,Interstate,67.94641339,8216879,NA,NA,NA
3008,worcester,westminster,U,2-WAY,Freeway & Expressway,62.77993839,10290307,NA,NA,NA
3016,worcester,westminster,U,2-WAY,Arterial,38.03903914,14716,NA,NA,NA
303,worcester,auburn,U,2-WAY,Arterial,39.66854181,2380614,NA,NA,NA
3045,worcester,lunenburg,U,2-WAY,Arterial,39.23335885,22204,NA,NA,NA
3051,worcester,leominster,U,2-WAY,Arterial,37.91985107,32633,NA,NA,NA
3053,worcester,leominster,U,2-WAY,Arterial,30.44397966,6096,4,0,0
307,worcester,westborough,U,2-WAY,Arterial,54.3884723,15112593,NA,NA,NA
3081,worcester,lancaster,U,2-WAY,Arterial,34.15387614,41046,NA,NA,NA
3091,worcester,southborough,U,2-WAY,Collector,33.98374739,4307,NA,NA,NA
3093,worcester,southborough,U,2-WAY,Collector,33.62576832,4230,NA,NA,NA
3094,worcester,southborough,U,2-WAY,Collector,17.68699573,2107,NA,NA,NA
3099,worcester,barre,R,2-WAY,Arterial,44.54819077,9037,NA,NA,NA
31,hampden,springfield,U,2-WAY,Interstate,62.45084461,18524642,NA,NA,NA
310,worcester,sutton,U,2-WAY,Freeway & Expressway,63.13235609,9329210,NA,NA,NA
3102,worcester,hardwick,R,2-WAY,Arterial,43.66755913,11207,NA,NA,NA
3103,worcester,hardwick,U,2-WAY,Arterial,46.43068121,15043,NA,NA,NA
3108,worcester,rutland,U,2-WAY,Arterial,36.54973475,8294,5,0,0
3110,worcester,boylston,U,2-WAY,Arterial,39.92397661,9576,5,0,0
3115,worcester,west boylston,U,2-WAY,Collector,39.07934912,10939,NA,NA,NA
3123,worcester,shrewsbury,U,2-WAY,Arterial,34.65826053,23249,2,0,0
3125,worcester,shrewsbury,U,2-WAY,Collector,33.39000948,7387,NA,NA,NA
3130,worcester,shrewsbury,U,2-WAY,Arterial,47.1416636,32583,NA,NA,NA
3133,worcester,westborough,U,2-WAY,Collector,34.7036436,19108,NA,NA,NA
3138,worcester,warren,R,2-WAY,Collector,41.5870226,7567,NA,NA,NA
3139,worcester,paxton,U,2-WAY,Arterial,35.34117787,16827,NA,NA,NA
3140,worcester,paxton,U,2-WAY,Arterial,48.97655548,1509617,NA,NA,NA
3145,worcester,spencer,U,2-WAY,Arterial,43.10343659,14759,NA,NA,NA
3149,worcester,paxton,U,2-WAY,Arterial,31.06073766,16349,2,0,0
3154,worcester,worcester,U,2-WAY,Arterial,31.10486285,12364,NA,NA,NA
3158,worcester,worcester,U,2-WAY,Collector,32.88910122,16752,4,0,0
3159,worcester,worcester,U,2-WAY,Collector,24.34176428,9647,5,0,0
316,worcester,worcester,U,2-WAY,Interstate,61.38170839,6711702,5,0,0
3164,worcester,dudley,U,2-WAY,Arterial,34.8824115,27140,5,0,0
3178,worcester,auburn,U,2-WAY,Arterial,44.30517035,5990496,8,0,0
3180,norfolk,medway,U,2-WAY,Interstate,71.7838872,23347184,NA,NA,NA
3189,worcester,grafton,U,2-WAY,Collector,29.49561062,9002,NA,NA,NA
3190,worcester,grafton,U,2-WAY,Collector,36.08819715,3855,NA,NA,NA
3199,worcester,uxbridge,U,2-WAY,Freeway & Expressway,67.31785959,8016605,NA,NA,NA
3202,worcester,douglas,U,2-WAY,Local Road,25.92391561,33863,NA,NA,NA
3205,worcester,uxbridge,U,2-WAY,Arterial,22.41041294,25718,NA,NA,NA
3206,worcester,uxbridge,U,2-WAY,Arterial,36.82377651,17021,NA,NA,NA
3208,worcester,webster,U,2-WAY,Arterial,42.93417225,28529,NA,NA,NA
3210,worcester,webster,U,2-WAY,Interstate,69.62519878,8096692,NA,NA,NA
3215,worcester,milford,U,2-WAY,Collector,20.47088634,18943,NA,NA,NA
3216,worcester,hopedale,U,2-WAY,Arterial,31.83457198,3633,NA,NA,NA
3217,worcester,milford,U,2-WAY,Arterial,40.50706191,17559,NA,NA,NA
3220,worcester,blackstone,U,2-WAY,Arterial,31.69705421,17219,12,0,0
3226,worcester,athol,U,2-WAY,Arterial,37.73802548,28331,2,0,0
3236,worcester,petersham,R,2-WAY,Arterial,48.44150894,3804,NA,NA,NA
3243,hampden,monson,U,2-WAY,Arterial,31.01054608,18114,NA,NA,NA
3244,hampden,monson,U,2-WAY,Arterial,27.04048583,6916,NA,NA,NA
3247,worcester,hopedale,U,2-WAY,Arterial,44.90071449,24230,2,0,0
3275,worcester,worcester,U,2-WAY,Arterial,28.82076643,24173,2,0,0
3277,worcester,worcester,U,2-WAY,Arterial,40.92271038,29630,NA,NA,NA
3281,worcester,southbridge,U,2-WAY,Arterial,26.24532357,20476,8,0,0
3283,worcester,southbridge,U,2-WAY,Collector,24.50476536,11018,NA,NA,NA
3288,worcester,blackstone,U,2-WAY,Arterial,21.64848285,15164,4,0,0
3291,worcester,worcester,U,2-WAY,Interstate,54.88579463,11498970,NA,NA,NA
3292,worcester,worcester,U,2-WAY,Interstate,66.266796,9258052,2,0,0
3293,worcester,west boylston,U,2-WAY,Interstate,68.71010564,7026930,NA,NA,NA
3295,worcester,sterling,U,2-WAY,Interstate,69.50782374,4232377,NA,NA,NA
3300,worcester,oxford,U,2-WAY,Interstate,66.10378788,14697139,NA,NA,NA
3302,worcester,athol,R,2-WAY,Arterial,44.78691928,3853,NA,NA,NA
3304,worcester,hubbardston,R,2-WAY,Arterial,48.88442211,11741,NA,NA,NA
3305,worcester,fitchburg,U,2-WAY,Arterial,37.97986844,26451,NA,NA,NA
3314,worcester,worcester,U,2-WAY,Collector,36.34948586,7782,NA,NA,NA
3319,worcester,shrewsbury,U,2-WAY,Interstate,70.4634938,8522162,1,0,0
3320,worcester,shrewsbury,U,2-WAY,Interstate,67.22204738,8307047,NA,NA,NA
3323,worcester,shrewsbury,U,2-WAY,Interstate,71.4193935,8305279,NA,NA,NA
3326,worcester,worcester,U,2-WAY,Interstate,64.87058755,10199300,13,0,0
3328,worcester,northborough,U,2-WAY,Collector,32.87906751,8236,NA,NA,NA
3329,hampden,brimfield,R,2-WAY,Arterial,55.29835252,2064111,2,0,0
3331,worcester,sturbridge,R,2-WAY,Arterial,44.44916761,2472944,NA,NA,NA
3333,worcester,worcester,U,2-WAY,Interstate,61.34889004,39592830,NA,NA,NA
3336,worcester,leominster,U,2-WAY,Arterial,21.8117166,31912,1,0,0
3337,worcester,shrewsbury,U,2-WAY,Arterial,37.20635924,26890,NA,NA,NA
3372456,middlesex,westford,U,2-WAY,Arterial,29.16157842,37741,NA,NA,NA
3372676,norfolk,avon,U,2-WAY,Local Road,23.43431635,371,NA,NA,NA
3372680,plymouth,plymouth,U,2-WAY,Collector,43.1857998,13162,NA,NA,NA
3372682,plymouth,plymouth,U,2-WAY,Collector,35.66844721,21273,NA,NA,NA
3372812,middlesex,dracut,U,2-WAY,Collector,19.91977008,12354,9,0,0
3372888,plymouth,abington,U,2-WAY,Local Road,27.0875576,1078,NA,NA,NA
3372889,plymouth,abington,U,2-WAY,Local Road,24.21543002,2350,NA,NA,NA
3372890,plymouth,brockton,,EB,Freeway & Expressway,37.39880212,23948,9,6,0
3372891,plymouth,brockton,,WB,Freeway & Expressway,32.04507787,26495,3,0,0
3372892,plymouth,brockton,U,2-WAY,Local Road,19.37189117,5385,2,0,0
3372893,plymouth,brockton,U,2-WAY,Arterial,19.25552371,23212,14,0,0
3372894,plymouth,brockton,U,2-WAY,Arterial,25.98281803,20946,2,0,0
3372895,plymouth,brockton,U,1-WAY,Local Road,26.23824959,4301,NA,NA,NA
3372896,plymouth,brockton,U,1-WAY,Local Road,26.71983847,7798,NA,NA,NA
3372897,plymouth,brockton,U,2-WAY,Local Road,23.00803213,6097,19,0,0
3372898,plymouth,brockton,U,2-WAY,Arterial,19.24118177,11080,2,0,0
3372899,plymouth,brockton,U,2-WAY,Collector,35.66843168,29782,NA,NA,NA
3372900,plymouth,brockton,U,2-WAY,Collector,37.78260363,25531,NA,NA,NA
3372901,plymouth,brockton,U,2-WAY,Arterial,35.41391966,14634,11,0,0
3372902,plymouth,brockton,U,2-WAY,Arterial,36.41346097,16742,NA,NA,NA
3372903,plymouth,brockton,U,2-WAY,Arterial,25.36704703,16896,5,0,0
3372904,plymouth,kingston,U,2-WAY,Local Road,30.90497738,1105,NA,NA,NA
3372905,plymouth,plymouth,U,2-WAY,Collector,39.05310351,11429,NA,NA,NA
3372906,plymouth,plymouth,U,2-WAY,Collector,41.77490989,8561,NA,NA,NA
3372907,plymouth,west bridgewater,U,2-WAY,Collector,35.18882466,5684,NA,NA,NA
35,essex,beverly,U,2-WAY,Freeway & Expressway,64.79597034,14947219,NA,NA,NA
38,bristol,new bedford,U,2-WAY,Interstate,66.44708933,16023490,NA,NA,NA
3895,worcester,auburn,U,2-WAY,Interstate,68.47034872,22418404,2,0,0
390,middlesex,marlborough,U,2-WAY,Interstate,69.47495792,770741,NA,NA,NA
3921,worcester,sturbridge,U,2-WAY,Interstate,69.52460225,10607958,NA,NA,NA
3929,worcester,sturbridge,U,2-WAY,Interstate,69.24959707,10971908,10,0,0
3982,worcester,millbury,U,2-WAY,Arterial,30.89410551,33954,NA,NA,NA
3983,worcester,milford,U,2-WAY,Arterial,36.30010346,26096,NA,NA,NA
3985,worcester,milford,U,2-WAY,Arterial,29.70091075,47653,7,0,0
3991,worcester,worcester,U,2-WAY,Arterial,59.46063535,12339327,NA,NA,NA
3992,worcester,worcester,U,2-WAY,Interstate,65.8587729,8417629,NA,NA,NA
40,berkshire,lenox,R,2-WAY,Arterial,50.51893112,7201846,4,0,0
4006,middlesex,hudson,U,2-WAY,Arterial,36.07608359,6460,NA,NA,NA
4008,middlesex,stow,U,2-WAY,Arterial,32.42480181,26490,NA,NA,NA
4013,middlesex,lincoln,U,2-WAY,Arterial,56.40740682,9192050,NA,NA,NA
4014,middlesex,weston,U,2-WAY,Collector,37.39694367,3959,1,0,0
4017,middlesex,framingham,U,2-WAY,Collector,42.08409342,7236,NA,NA,NA
4022,middlesex,hopkinton,U,2-WAY,Arterial,37.41832806,11687,NA,NA,NA
4024,middlesex,natick,U,2-WAY,Collector,28.0599813,10695,NA,NA,NA
4027,middlesex,sherborn,U,2-WAY,Arterial,42.4927789,12325,NA,NA,NA
403,middlesex,concord,U,2-WAY,Arterial,33.8617343,1580457,NA,NA,NA
4036,middlesex,groton,U,2-WAY,Arterial,33.37952453,27047,NA,NA,NA
4037,middlesex,groton,U,2-WAY,Arterial,38.27215615,10426,NA,NA,NA
4040,middlesex,chelmsford,U,2-WAY,Arterial,42.73310811,8288,NA,NA,NA
4042,middlesex,chelmsford,U,2-WAY,Arterial,35.46687211,3894,NA,NA,NA
4059,middlesex,billerica,U,2-WAY,Collector,29.95457905,14884,NA,NA,NA
4060,middlesex,billerica,U,2-WAY,Arterial,31.75025796,12599,2,0,0
4062,middlesex,billerica,U,2-WAY,Arterial,38.93589108,22183,1,0,0
4067,middlesex,billerica,U,2-WAY,Collector,44.35601719,6282,NA,NA,NA
4076,middlesex,lowell,U,2-WAY,Arterial,19.35041566,18284,4,0,0
4079,middlesex,lowell,U,2-WAY,Freeway & Expressway,54.29632546,2788356,6,0,0
4083,middlesex,dracut,U,2-WAY,Arterial,35.73395447,53043,NA,NA,NA
4084,middlesex,lowell,U,2-WAY,Arterial,36.91564714,48552,NA,NA,NA
4088,middlesex,lowell,U,2-WAY,Arterial,27.91072361,45964,1,0,0
4090,middlesex,littleton,U,2-WAY,Interstate,72.01549979,20844414,NA,NA,NA
4097,middlesex,woburn,U,2-WAY,Interstate,61.70498391,42755246,NA,NA,NA
4098,middlesex,woburn,U,2-WAY,Interstate,58.60362494,26862118,2,0,0
4099,middlesex,stoneham,U,2-WAY,Interstate,64.91476447,14828442,NA,NA,NA
4102,middlesex,dracut,U,2-WAY,Arterial,29.0504451,23927,5,0,0
4103,middlesex,dracut,U,2-WAY,Arterial,40.96792885,23557,NA,NA,NA
4105,middlesex,tewksbury,U,2-WAY,Collector,28.09754501,18330,NA,NA,NA
4106,middlesex,billerica,U,2-WAY,Collector,29.03141433,21872,NA,NA,NA
4110,middlesex,tewksbury,U,2-WAY,Arterial,30.56435442,27030,3,0,0
4112,middlesex,tewksbury,U,2-WAY,Arterial,35.35910653,1746,4,0,0
4113,middlesex,billerica,U,2-WAY,Collector,26.94859222,6322,NA,NA,NA
4116,middlesex,westford,U,2-WAY,Arterial,35.83618312,9065,NA,NA,NA
4119,middlesex,waltham,U,2-WAY,Interstate,64.96596545,36396640,NA,NA,NA
4120,middlesex,waltham,U,2-WAY,Interstate,62.64245556,32064185,NA,NA,NA
